Bug编号,Source数据库类型,Source数据库版本,Sink数据库类型,Sink数据库版本,首次报告时间,确认修复时间,修复 commit hash,修复周期,tool_created_at,tool_updated_at,tool_closed_at,tool_merged_at,tool_merge_commit_hash,tool_labels,tool_files_changed,tool_total_comments_count,tool_total_chars,tool_total_words,tool_total_bytes,issue_comments_count,issue_comments_chars,issue_comments_words,issue_comments_bytes,review_comments_count,review_comments_chars,review_comments_words,review_comments_bytes,pr_detail_title_chars,pr_detail_body_chars,pr_detail_comments_count,pr_detail_review_comments_count,review_blocs_count,review_blocs_chars,review_blocs_words,review_blocs_bytes
FLINK-36285,,,Doris,,2024/9/15 09:56,2024/11/14 08:43,8e6c361f961966c25c9c34ffecdfc87cf2b599a3,59d 22:47:39,2024-11-07T01:47:04Z,2024-11-14T08:43:40Z,2024-11-14T08:43:39Z,2024-11-14T08:43:39Z,8e6c361f961966c25c9c34ffecdfc87cf2b599a3,build;doris-pipeline-connector;reviewed;approved,flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-doris/pom.xml;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-doris/src/test/java/org/apache/flink/cdc/connectors/doris/sink/DorisMetadataApplierITCase.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-doris/src/test/java/org/apache/flink/cdc/connectors/doris/sink/DorisPipelineITCase.java;tools/ci/license_check.rb,2,57,9,59,1,21,3,21,0,0,0,0,84,269,1,0,1,36,6,38
FLINK-36326,MySQL,,Doris,,2024/9/19 09:56,2024/10/23 07:35,d5f549f91f1bbdb4adc218e78b1a2e4446a477e1,33d 21:39:19,2024-09-19T11:26:26Z,2024-10-23T07:35:19Z,2024-10-23T07:35:19Z,2024-10-23T07:35:19Z,d5f549f91f1bbdb4adc218e78b1a2e4446a477e1,mysql-cdc-connector;reviewed;approved,flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/enumerator/MySqlSourceEnumerator.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/test/java/org/apache/flink/cdc/connectors/mysql/source/NewlyAddedTableITCase.java,3,129,19,129,2,124,18,124,0,0,0,0,59,154,2,0,1,5,1,5
FLINK-36375,Runtime,,Values,,2024/9/26 04:45,2024/11/11 09:41,8647fe4986a6f4de82021c1e1646f1bc5886bfb4,46d 04:56:43,2024-09-26T05:16:37Z,2024-11-19T07:39:10Z,2024-11-11T09:41:43Z,2024-11-11T09:41:43Z,8647fe4986a6f4de82021c1e1646f1bc5886bfb4,values-pipeline-connector;composer;runtime;reviewed;approved,flink-cdc-composer/src/test/java/org/apache/flink/cdc/composer/flink/FlinkPipelineComposerLenientITCase.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-values/src/main/java/org/apache/flink/cdc/connectors/values/source/ValuesDataSourceHelper.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-values/src/main/java/org/apache/flink/cdc/connectors/values/source/ValuesDataSourceOptions.java;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/operators/schema/coordinator/SchemaRegistryRequestHandler.java;flink-cdc-runtime/src/test/java/org/apache/flink/cdc/runtime/operators/schema/coordinator/SchemaDerivationTest.java;flink-cdc-runtime/src/test/java/org/apache/flink/cdc/runtime/operators/schema/coordinator/SchemaManagerTest.java,12,1194,168,1194,5,391,61,391,4,316,32,316,87,159,5,4,3,487,75,487
FLINK-36407,Runtime,,,,2024/9/29 22:32,2024/11/11 06:01,e15bf6f04a31fbbf3ebeb4c3cb891f309df29d3c,42d 07:29:56,2024-09-29T22:38:34Z,2024-11-11T06:22:32Z,2024-11-11T06:01:56Z,2024-11-11T06:01:56Z,e15bf6f04a31fbbf3ebeb4c3cb891f309df29d3c,runtime;reviewed;approved,flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/operators/schema/coordinator/SchemaRegistry.java,5,908,45,908,2,893,42,893,0,0,0,0,71,174,2,0,3,15,3,15
FLINK-36408,MySQL,,,,2024/9/30 03:27,2024/11/11 07:09,57a1a7df93a69dbbd37fe4e3e5e4146cbe1f9983,42d 03:42:09,2024-09-30T03:31:25Z,2024-11-11T07:09:09Z,2024-11-11T07:09:09Z,2024-11-11T07:09:09Z,57a1a7df93a69dbbd37fe4e3e5e4146cbe1f9983,docs;mysql-pipeline-connector;reviewed;approved,docs/content.zh/docs/connectors/pipeline-connectors/mysql.md;docs/content/docs/connectors/pipeline-connectors/mysql.md;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-mysql/src/main/java/org/apache/flink/cdc/connectors/mysql/utils/MySqlTypeUtils.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-mysql/src/test/java/org/apache/flink/cdc/connectors/mysql/source/MySqlFullTypesITCase.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-mysql/src/test/java/org/apache/flink/cdc/connectors/mysql/source/MySqlMetadataAccessorITCase.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-mysql/src/test/resources/ddl/column_type_test.sql;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-mysql/src/test/resources/ddl/column_type_test_mysql8.sql,6,200,33,200,2,85,12,85,2,106,19,106,84,316,2,2,2,9,2,9
FLINK-36461,Runtime,,,,2024/10/10 05:47,2024/11/12 11:53,b5ab385b8cbcd8888a63a895ff20d556ccb527ff,33d 06:06:47,2024-10-10T08:21:32Z,2024-11-12T11:53:47Z,2024-11-12T11:53:47Z,2024-11-12T11:53:47Z,b5ab385b8cbcd8888a63a895ff20d556ccb527ff,composer;common;runtime;reviewed;approved,flink-cdc-common/src/main/java/org/apache/flink/cdc/common/utils/SchemaUtils.java;flink-cdc-composer/src/test/java/org/apache/flink/cdc/composer/flink/FlinkPipelineTransformITCase.java;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/operators/transform/PostTransformOperator.java;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/operators/transform/PreTransformOperator.java,4,168,26,168,0,0,0,0,2,135,20,135,69,3638,0,2,2,33,6,33
FLINK-36474,Runtime,,Doris;StarRocks,,2024/10/11 02:34,2024/11/6 11:53,84f97ed4c13ec073022968b83532bdbbce3944ae,26d 09:19:49,2024-10-11T12:03:00Z,2024-11-06T11:53:49Z,2024-11-06T11:53:49Z,2024-11-06T11:53:49Z,84f97ed4c13ec073022968b83532bdbbce3944ae,composer;common;runtime;e2e-tests;doris-pipeline-connector;starrocks-pipeline-connector;reviewed;approved,flink-cdc-common/src/main/java/org/apache/flink/cdc/common/utils/SchemaUtils.java;flink-cdc-common/src/test/java/org/apache/flink/cdc/common/utils/SchemaUtilsTest.java;flink-cdc-composer/src/main/java/org/apache/flink/cdc/composer/flink/FlinkPipelineComposer.java;flink-cdc-composer/src/main/java/org/apache/flink/cdc/composer/flink/translator/SchemaOperatorTranslator.java;flink-cdc-composer/src/test/java/org/apache/flink/cdc/composer/flink/FlinkPipelineComposerITCase.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-doris/src/test/java/org/apache/flink/cdc/connectors/doris/sink/DorisMetadataApplierITCase.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-starrocks/src/test/java/org/apache/flink/cdc/connectors/starrocks/sink/StarRocksMetadataApplierITCase.java;flink-cdc-e2e-tests/flink-cdc-pipeline-e2e-tests/src/test/java/org/apache/flink/cdc/pipeline/tests/SchemaEvolveE2eITCase.java;flink-cdc-e2e-tests/flink-cdc-pipeline-e2e-tests/src/test/java/org/apache/flink/cdc/pipeline/tests/SchemaEvolvingTransformE2eITCase.java;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/operators/schema/SchemaOperator.java;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/operators/schema/SchemaOperatorFactory.java;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/operators/schema/coordinator/SchemaDerivation.java;flink-cdc-runtime/src/test/java/org/apache/flink/cdc/runtime/operators/schema/coordinator/SchemaDerivationTest.java,9,535,90,537,2,118,18,118,4,394,68,394,60,753,2,4,3,23,4,25
FLINK-36509,MySQL,,Paimon,,2024/10/11 03:46,2024/11/12 12:00,ae986ab3f607d788b4b82e2aabceb3e807a54139,32d 08:14:14,2024-10-14T05:48:42Z,2024-11-12T12:08:08Z,2024-11-12T12:00:14Z,2024-11-12T12:00:14Z,ae986ab3f607d788b4b82e2aabceb3e807a54139,paimon-pipeline-connector;reviewed;approved,flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-paimon/src/main/java/org/apache/flink/cdc/connectors/paimon/sink/PaimonMetadataApplier.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-paimon/src/test/java/org/apache/flink/cdc/connectors/paimon/sink/PaimonMetadataApplierTest.java,2,115,21,115,1,73,15,73,0,0,0,0,80,50,1,0,1,42,6,42
FLINK-36514,,,,,2024/10/12 03:25,2024/11/6 11:58,4df3d9272135103304d7413aea20bd3b9aafa2aa,25d 08:33:10,2024-10-12T03:48:39Z,2024-11-06T11:58:11Z,2024-11-06T11:58:11Z,2024-11-06T11:58:10Z,4df3d9272135103304d7413aea20bd3b9aafa2aa,cli;reviewed;approved,flink-cdc-cli/src/main/java/org/apache/flink/cdc/cli/parser/YamlPipelineDefinitionParser.java;flink-cdc-cli/src/test/java/org/apache/flink/cdc/cli/parser/YamlPipelineDefinitionParserTest.java,2,7,2,7,0,0,0,0,0,0,0,0,73,1022,0,0,2,7,2,7
FLINK-36517,,,Paimon,,2024/10/12 07:47,2024/11/11 11:57,ff77a490bd88d86952d47607f44a07163f5d8ced,30d 04:10:23,2024-10-12T07:52:58Z,2025-01-09T12:28:28Z,2024-11-11T11:57:23Z,2024-11-11T11:57:23Z,ff77a490bd88d86952d47607f44a07163f5d8ced,paimon-pipeline-connector;reviewed;approved,flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-paimon/src/main/java/org/apache/flink/cdc/connectors/paimon/sink/v2/PaimonCommitter.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-paimon/src/test/java/org/apache/flink/cdc/connectors/paimon/sink/v2/PaimonSinkITCase.java,14,1449,212,1449,7,664,104,664,4,615,77,615,103,181,7,4,3,170,31,170
FLINK-36558,MySQL,8.0.17/8.0.18,,,2024/10/17 01:32,2024/12/17 06:37,dfbaf617e28f2a42d961a40f925bf2723e5b6f40,61d 05:05:13,2024-10-17T02:09:32Z,2024-12-17T06:37:13Z,2024-12-17T06:37:13Z,2024-12-17T06:37:13Z,dfbaf617e28f2a42d961a40f925bf2723e5b6f40,mysql-cdc-connector;reviewed;Stale;approved,flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/com/github/shyiko/mysql/binlog/event/deserialization/ColumnType.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/com/github/shyiko/mysql/binlog/event/deserialization/TableMapEventDataDeserializer.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/test/java/org/apache/flink/cdc/connectors/mysql/table/MySqlJsonArrayAsKeyIndexITCase.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/test/java/org/apache/flink/cdc/connectors/mysql/testutils/MySqlVersion.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/test/resources/ddl/json_array_as_key.sql,3,313,55,313,1,168,31,168,0,0,0,0,82,894,1,0,2,145,24,145
FLINK-36560,MySQL,,Doris;Kafka;Paimon;StarRocks,,2024/10/17 09:18,2024/11/11 06:46,ecfee702dc91a1e039b1b6f3fc16fa50dfc1331c,24d 21:28:49,2024-10-17T09:31:41Z,2024-11-11T06:46:50Z,2024-11-11T06:46:49Z,2024-11-11T06:46:49Z,ecfee702dc91a1e039b1b6f3fc16fa50dfc1331c,doris-pipeline-connector;starrocks-pipeline-connector;paimon-pipeline-connector;kafka-pipeline-connector;reviewed;approved,flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-doris/src/test/java/org/apache/flink/cdc/connectors/doris/sink/DorisPipelineITCase.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-kafka/src/main/java/org/apache/flink/cdc/connectors/kafka/json/TableSchemaInfo.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-kafka/src/test/java/org/apache/flink/cdc/connectors/kafka/json/TableSchemaInfoTest.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-paimon/src/main/java/org/apache/flink/cdc/connectors/paimon/sink/v2/PaimonWriterHelper.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-paimon/src/test/java/org/apache/flink/cdc/connectors/paimon/sink/v2/PaimonWriterHelperTest.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-starrocks/src/main/java/org/apache/flink/cdc/connectors/starrocks/sink/StarRocksDataSinkFactory.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-starrocks/src/test/java/org/apache/flink/cdc/connectors/starrocks/sink/StarRocksPipelineITCase.java,7,1901,135,1901,1,70,10,70,3,1430,82,1430,108,627,1,3,3,401,43,401
FLINK-36572,,,StarRocks,,2024/10/20 02:50,2024/11/11 05:55,be9b52750c7bb4835a7b8631ebdb17666aff6bb1,22d 03:05:02,2024-10-20T02:59:56Z,2024-11-14T05:06:40Z,2024-11-11T05:55:03Z,2024-11-11T05:55:02Z,be9b52750c7bb4835a7b8631ebdb17666aff6bb1,starrocks-pipeline-connector;reviewed;approved,flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-starrocks/src/main/java/org/apache/flink/cdc/connectors/starrocks/sink/StarRocksDataSink.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-starrocks/src/main/java/org/apache/flink/cdc/connectors/starrocks/sink/StarRocksDataSinkFactory.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-starrocks/src/test/java/org/apache/flink/cdc/connectors/starrocks/sink/StarRocksDataSinkFactoryTest.java,8,582,83,582,6,501,71,501,0,0,0,0,98,0,6,0,2,81,12,81
FLINK-36596,Runtime,,,,2024/10/24 07:22,2024/11/14 04:04,51c679a91408476bd64aeb8fa481298554ce9e19,20d 20:42:55,2024-10-24T09:12:21Z,2024-11-14T04:04:55Z,2024-11-14T04:04:55Z,2024-11-14T04:04:55Z,51c679a91408476bd64aeb8fa481298554ce9e19,composer;runtime;reviewed;approved,flink-cdc-composer/src/test/java/org/apache/flink/cdc/composer/flink/FlinkPipelineTransformITCase.java;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/parser/TransformParser.java,2,7,2,7,0,0,0,0,0,0,0,0,75,648,0,0,2,7,2,7
FLINK-36636,Runtime,,,,2024/10/31 08:12,2025/1/14 13:43,551bdf395daf33588f5df86dd8450d23a844128e,75d 05:31:22,2024-10-31T12:58:15Z,2025-01-14T13:43:22Z,2025-01-14T13:43:22Z,2025-01-14T13:43:22Z,551bdf395daf33588f5df86dd8450d23a844128e,docs;runtime;reviewed;approved,docs/content.zh/docs/core-concept/transform.md;docs/content/docs/core-concept/transform.md;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/functions/SystemFunctionUtils.java;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/parser/JaninoCompiler.java;flink-cdc-runtime/src/test/java/org/apache/flink/cdc/runtime/operators/transform/PostTransformOperatorTest.java;flink-cdc-runtime/src/test/java/org/apache/flink/cdc/runtime/parser/TransformParserTest.java,23,2260,327,2264,9,743,117,747,10,1266,172,1266,79,1104,9,10,4,251,38,251
FLINK-36649,Oracle,,,,2024/11/1 08:14,2024/11/8 06:57,7f6d9115ae5fec8a7d09d6a7ab4a2ec180e0b646,6d 22:43:06,2024-11-01T08:26:52Z,2024-11-08T06:57:07Z,2024-11-08T06:57:06Z,2024-11-08T06:57:06Z,7f6d9115ae5fec8a7d09d6a7ab4a2ec180e0b646,oracle-cdc-connector;reviewed;approved,flink-cdc-connect/flink-cdc-source-connectors/flink-connector-oracle-cdc/src/main/java/io/debezium/connector/oracle/logminer/LogMinerStreamingChangeEventSource.java,4,655,97,657,3,650,96,652,0,0,0,0,79,4404,3,0,1,5,1,5
FLINK-36656,MySQL,,,,2024/11/4 09:21,2024/11/20 07:36,01a1e5fba55038529a1eaf7758f85d3972d8e0ea,15d 22:15:10,2024-11-04T10:02:04Z,2024-11-20T07:53:31Z,2024-11-20T07:36:10Z,2024-11-20T07:36:10Z,01a1e5fba55038529a1eaf7758f85d3972d8e0ea,mysql-cdc-connector;reviewed;approved,flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/table/MySqlDeserializationConverterFactory.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/test/java/org/apache/flink/cdc/connectors/mysql/table/MySqlConnectorITCase.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/test/java/org/apache/flink/cdc/connectors/mysql/table/MySqlConnectorShardingTableITCase.java,2,76,13,76,0,0,0,0,1,71,12,71,103,166,0,1,1,5,1,5
FLINK-36681,MySQL,,,,2024/11/9 01:23,2024/11/12 11:35,ba74c7c45ff69ccb0052e9ae17972de4a4257ba0,3d 10:12:09,2024-11-09T01:31:10Z,2024-11-14T05:03:39Z,2024-11-12T11:35:09Z,2024-11-12T11:35:09Z,ba74c7c45ff69ccb0052e9ae17972de4a4257ba0,docs;reviewed;approved,docs/content.zh/docs/connectors/flink-sources/mysql-cdc.md;docs/content/docs/connectors/flink-sources/mysql-cdc.md,4,204,29,204,3,202,28,202,0,0,0,0,106,0,3,0,1,2,1,2
FLINK-36682,,,,,2024/11/9 02:37,2025/3/5 14:31,2c699860aa88c33a971b8c855904bfbe679f3a69,116d 11:54:11,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-36699,,,,,2024/11/13 03:01,2024/11/13 07:07,d9ceee050bb1b6cf6bd8e2d285e22602a424d1c1,0d 04:06:41,2024-11-11T08:52:44Z,2024-11-13T07:07:41Z,2024-11-13T07:07:41Z,2024-11-13T07:07:41Z,d9ceee050bb1b6cf6bd8e2d285e22602a424d1c1,common;reviewed;approved,flink-cdc-common/src/main/java/org/apache/flink/cdc/common/types/utils/DataTypeUtils.java;flink-cdc-common/src/test/java/org/apache/flink/cdc/common/types/utils/DataTypeUtilsTest.java,1,5,1,5,0,0,0,0,0,0,0,0,86,94,0,0,1,5,1,5
FLINK-36701,Runtime,,Paimon,,2024/11/13 08:29,2025/1/9 06:46,630e0d70c24b7443970e7e37332bb2d10aa6823e,56d 22:17:09,2024-12-13T11:48:10Z,2025-01-09T06:46:09Z,2025-01-09T06:46:09Z,2025-01-09T06:46:09Z,630e0d70c24b7443970e7e37332bb2d10aa6823e,common;runtime;e2e-tests;paimon-pipeline-connector;reviewed;approved,flink-cdc-common/src/main/java/org/apache/flink/cdc/common/event/FlushEvent.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-paimon/src/main/java/org/apache/flink/cdc/connectors/paimon/sink/v2/bucket/BucketAssignOperator.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-paimon/src/main/java/org/apache/flink/cdc/connectors/paimon/sink/v2/bucket/BucketWrapperEventSerializer.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-paimon/src/main/java/org/apache/flink/cdc/connectors/paimon/sink/v2/bucket/BucketWrapperFlushEvent.java;flink-cdc-e2e-tests/flink-cdc-source-e2e-tests/src/test/java/org/apache/flink/cdc/connectors/tests/OceanBaseE2eITCase.java;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/operators/schema/distributed/SchemaOperator.java;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/operators/schema/regular/SchemaOperator.java;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/operators/sink/DataSinkFunctionOperator.java;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/operators/sink/DataSinkWriterOperator.java;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/serializer/event/EventSerializer.java;flink-cdc-runtime/src/test/java/org/apache/flink/cdc/runtime/operators/schema/distributed/SchemaEvolveTest.java;flink-cdc-runtime/src/test/java/org/apache/flink/cdc/runtime/operators/schema/regular/SchemaEvolveTest.java;flink-cdc-runtime/src/test/java/org/apache/flink/cdc/runtime/operators/sink/DataSinkOperatorAdapter.java;flink-cdc-runtime/src/test/java/org/apache/flink/cdc/runtime/operators/sink/DataSinkOperatorWithSchemaEvolveTest.java;flink-cdc-runtime/src/test/java/org/apache/flink/cdc/runtime/partitioning/PrePartitionOperatorTest.java;flink-cdc-runtime/src/test/java/org/apache/flink/cdc/runtime/serializer/event/EventSerializerTest.java;flink-cdc-runtime/src/test/java/org/apache/flink/cdc/runtime/serializer/event/PartitioningEventSerializerTest.java;flink-cdc-runtime/src/test/java/org/apache/flink/cdc/runtime/testutils/operators/RegularEventOperatorTestHarness.java,23,5189,634,5189,7,3252,329,3252,12,1623,254,1623,136,909,7,12,4,314,51,314
FLINK-36741,Runtime,,Values,,2024/11/18 10:29,2025/1/15 03:01,79e868b86483b66e83edc22f060e57c3a68bae9b,57d 16:32:40,2024-11-18T15:12:36Z,2025-01-15T03:01:40Z,2025-01-15T03:01:40Z,2025-01-15T03:01:40Z,79e868b86483b66e83edc22f060e57c3a68bae9b,values-pipeline-connector;composer;runtime;reviewed;approved,flink-cdc-composer/src/test/java/org/apache/flink/cdc/composer/flink/FlinkPipelineTransformITCase.java;flink-cdc-composer/src/test/java/org/apache/flink/cdc/composer/flink/FlinkPipelineUdfITCase.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-values/src/main/java/org/apache/flink/cdc/connectors/values/sink/ValuesDataSinkHelper.java;flink-cdc-pipeline-udf-examples/src/main/java/org/apache/flink/cdc/udf/examples/java/precision/BinaryTypeReturningClass.java;flink-cdc-pipeline-udf-examples/src/main/java/org/apache/flink/cdc/udf/examples/java/precision/CharTypeReturningClass.java;flink-cdc-pipeline-udf-examples/src/main/java/org/apache/flink/cdc/udf/examples/java/precision/DecimalTypeNonNullReturningClass.java;flink-cdc-pipeline-udf-examples/src/main/java/org/apache/flink/cdc/udf/examples/java/precision/DecimalTypeReturningClass.java;flink-cdc-pipeline-udf-examples/src/main/java/org/apache/flink/cdc/udf/examples/java/precision/LocalZonedTimestampTypeReturningClass.java;flink-cdc-pipeline-udf-examples/src/main/java/org/apache/flink/cdc/udf/examples/java/precision/TimestampTypeReturningClass.java;flink-cdc-pipeline-udf-examples/src/main/java/org/apache/flink/cdc/udf/examples/java/precision/VarBinaryTypeReturningClass.java;flink-cdc-pipeline-udf-examples/src/main/java/org/apache/flink/cdc/udf/examples/java/precision/VarCharTypeReturningClass.java;flink-cdc-pipeline-udf-examples/src/main/scala/org/apache/flink/cdc/udf/examples/scala/precision/BinaryTypeReturningClass.scala;flink-cdc-pipeline-udf-examples/src/main/scala/org/apache/flink/cdc/udf/examples/scala/precision/CharTypeReturningClass.scala;flink-cdc-pipeline-udf-examples/src/main/scala/org/apache/flink/cdc/udf/examples/scala/precision/DecimalTypeNonNullReturningClass.scala;flink-cdc-pipeline-udf-examples/src/main/scala/org/apache/flink/cdc/udf/examples/scala/precision/DecimalTypeReturningClass.scala;flink-cdc-pipeline-udf-examples/src/main/scala/org/apache/flink/cdc/udf/examples/scala/precision/LocalZonedTimestampTypeReturningClass.scala;flink-cdc-pipeline-udf-examples/src/main/scala/org/apache/flink/cdc/udf/examples/scala/precision/TimestampTypeReturningClass.scala;flink-cdc-pipeline-udf-examples/src/main/scala/org/apache/flink/cdc/udf/examples/scala/precision/VarBinaryTypeReturningClass.scala;flink-cdc-pipeline-udf-examples/src/main/scala/org/apache/flink/cdc/udf/examples/scala/precision/VarCharTypeReturningClass.scala;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/functions/SystemFunctionUtils.java;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/parser/JaninoCompiler.java;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/parser/TransformParser.java;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/parser/metadata/TransformTable.java;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/typeutils/DataTypeConverter.java;flink-cdc-runtime/src/test/java/org/apache/flink/cdc/runtime/parser/TransformParserTest.java,16,1550,215,1550,7,1109,145,1109,6,285,47,285,131,2084,7,6,3,156,23,156
FLINK-36742,Oracle,,,,2024/11/18 12:49,2025/4/24 08:57,c2230d53a5732367d3776dda8b6b7c8a34f090a3,156d 20:08:30,2024-11-18T12:51:08Z,2025-04-24T08:57:31Z,2025-04-24T08:57:30Z,2025-04-24T08:57:30Z,c2230d53a5732367d3776dda8b6b7c8a34f090a3,base;oracle-cdc-connector;reviewed;Stale;approved,flink-cdc-connect/flink-cdc-source-connectors/flink-cdc-base/src/main/java/org/apache/flink/cdc/connectors/base/source/reader/IncrementalSourceReader.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-oracle-cdc/pom.xml;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-oracle-cdc/src/test/java/org/apache/flink/cdc/connectors/oracle/source/reader/OracleSourceReaderTest.java,8,533,84,533,7,500,78,500,0,0,0,0,104,79,7,0,1,33,6,33
