Bug编号,Source数据库类型,Source数据库版本,Sink数据库类型,Sink数据库版本,CDC工具类型,CDC受影响版本,CDC修复版本,依赖软件,依赖软件版本,,,软件情况,故障表现,首次报告时间,确认修复时间,修复 commit hash,tool_created_at,tool_updated_at,tool_closed_at,tool_merged_at,tool_merge_commit_hash,tool_labels,tool_files_changed,tool_total_comments_count,tool_total_chars,tool_total_words,tool_total_bytes,issue_comments_count,issue_comments_chars,issue_comments_words,issue_comments_bytes,review_comments_count,review_comments_chars,review_comments_words,review_comments_bytes,pr_detail_title_chars,pr_detail_body_chars,pr_detail_comments_count,pr_detail_review_comments_count,review_blocs_count,review_blocs_chars,review_blocs_words,review_blocs_bytes
FLINK-34969,,,,,Flink CDC,3.0.1,,Flink,1.19.0,,,崩溃故障,,2024/3/30 13:22,2024/4/23 09:58,21032263c54b9b14999dc234fea551b7253c6e4f,2024-03-25T08:47:19Z,2024-04-23T09:58:08Z,2024-04-23T09:58:08Z,2024-04-23T09:58:08Z,21032263c54b9b14999dc234fea551b7253c6e4f,cli,flink-cdc-cli/pom.xml;flink-cdc-cli/src/main/java/org/apache/flink/cdc/cli/CliFrontend.java;flink-cdc-cli/src/main/java/org/apache/flink/cdc/cli/utils/ConfigurationUtils.java;flink-cdc-cli/src/main/java/org/apache/flink/cdc/cli/utils/FlinkEnvironmentUtils.java;flink-cdc-cli/src/main/java/org/apache/flink/cdc/cli/utils/YamlParserUtils.java;flink-cdc-cli/src/test/java/org/apache/flink/cdc/cli/utils/ConfigurationUtilsTest.java;flink-cdc-cli/src/test/resources/flink-home/conf/config.yaml,18,5982,813,5982,4,1312,223,1312,9,4471,556,4471,83,611,4,9,5,199,34,199
FLINK-35036,Oracle,19c,Doris,2.0.3,Flink CDC,2.4.2,,Flink,1.15.2,,,崩溃故障（待复现）,,2024/4/7 09:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35055,,,,,,,,,,,,,,2024/4/9 03:04,2024/4/23 10:05,01ec7da98954db4a985d5c01862b430f9844d218,2024-04-09T05:40:51Z,2024-04-23T10:05:11Z,2024-04-23T10:05:11Z,2024-04-23T10:05:11Z,01ec7da98954db4a985d5c01862b430f9844d218,docs;mysql-cdc-connector;oracle-cdc-connector;e2e-tests;oceanbase-cdc-connector;db2-cdc-connector;mysql-pipeline-connector,docs/content.zh/docs/connectors/legacy-flink-cdc-sources/db2-cdc.md;docs/content.zh/docs/connectors/legacy-flink-cdc-sources/mysql-cdc.md;docs/content.zh/docs/connectors/legacy-flink-cdc-sources/oceanbase-cdc.md;docs/content.zh/docs/connectors/legacy-flink-cdc-sources/oracle-cdc.md;docs/content.zh/docs/connectors/mysql.md;docs/content/docs/connectors/legacy-flink-cdc-sources/db2-cdc.md;docs/content/docs/connectors/legacy-flink-cdc-sources/mysql-cdc.md;docs/content/docs/connectors/legacy-flink-cdc-sources/oceanbase-cdc.md;docs/content/docs/connectors/legacy-flink-cdc-sources/oracle-cdc.md;docs/content/docs/connectors/mysql.md;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-mysql/pom.xml;flink-cdc-connect/flink-cdc-source-connectors/flink-sql-connector-db2-cdc/pom.xml;flink-cdc-connect/flink-cdc-source-connectors/flink-sql-connector-mysql-cdc/pom.xml;flink-cdc-connect/flink-cdc-source-connectors/flink-sql-connector-oceanbase-cdc/pom.xml;flink-cdc-connect/flink-cdc-source-connectors/flink-sql-connector-oracle-cdc/pom.xml;flink-cdc-e2e-tests/flink-cdc-source-e2e-tests/pom.xml;flink-cdc-e2e-tests/flink-cdc-source-e2e-tests/src/test/java/org/apache/flink/cdc/connectors/tests/Db2E2eITCase.java;flink-cdc-e2e-tests/flink-cdc-source-e2e-tests/src/test/java/org/apache/flink/cdc/connectors/tests/MySqlE2eITCase.java;flink-cdc-e2e-tests/flink-cdc-source-e2e-tests/src/test/java/org/apache/flink/cdc/connectors/tests/OracleE2eITCase.java,8,1118,141,1118,5,891,104,891,1,115,19,115,98,920,5,1,2,112,18,112
FLINK-35056,SQL Server,,,,Flink CDC,3.1.1,3.2.0,Flink,1.18.1,,,崩溃故障（待复现）,,2024/4/9 05:21,2024/8/22 17:09,52f2019469cdeb63246317b6cb8c6b825233c27c,2024-08-21T18:07:47Z,2024-08-26T16:24:32Z,2024-08-22T17:09:17Z,2024-08-22T17:09:16Z,52f2019469cdeb63246317b6cb8c6b825233c27c,sqlserver-cdc-connector;reviewed;approved,flink-cdc-connect/flink-cdc-source-connectors/flink-connector-sqlserver-cdc/src/main/java/org/apache/flink/cdc/connectors/sqlserver/source/utils/SqlServerTypeUtils.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-sqlserver-cdc/src/test/java/org/apache/flink/cdc/connectors/sqlserver/source/read/fetch/SqlServerScanFetchTaskTest.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-sqlserver-cdc/src/test/resources/ddl/pk.sql,2,114,21,114,1,81,15,81,0,0,0,0,61,454,1,0,1,33,6,33
FLINK-35058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35079,MongoDB,,,,Flink CDC,3.0.0,3.1.0,Flink,1.18.1,,,崩溃故障,,2024/4/11 07:43,2024/4/17 02:31,0562e35da75fb2c8e512d438adb8f80a87964dc4,2024-04-11T08:29:40Z,2024-04-17T02:31:38Z,2024-04-17T02:31:38Z,2024-04-17T02:31:38Z,0562e35da75fb2c8e512d438adb8f80a87964dc4,mongodb-cdc-connector,flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mongodb-cdc/src/main/java/org/apache/flink/cdc/connectors/mongodb/source/reader/fetch/MongoDBStreamFetchTask.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mongodb-cdc/src/main/java/org/apache/flink/cdc/connectors/mongodb/source/utils/MongoUtils.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mongodb-cdc/src/test/java/org/apache/flink/cdc/connectors/mongodb/source/NewlyAddedTableITCase.java,15,6168,666,6170,1,446,71,446,12,5574,572,5576,78,682,1,12,2,148,23,148
FLINK-35090,,,Doris,,Flink CDC,3.0.1,3.3.1,Flink,1.18.1,,,崩溃故障（待复现）,,2024/4/12 01:46,2024/6/26 06:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35102,,,Doris,,Flink CDC,3.0.1,3.1.0,Flink,1.18.1,,,潜在故障（待复现）,,2024/4/15 03:16,2024/4/22 07:53,5e52d8620cee995b55f003956c3f7d7a3bdf4a22,2024-04-15T03:23:50Z,2024-04-22T08:27:14Z,2024-04-22T07:53:39Z,2024-04-22T07:53:39Z,5e52d8620cee995b55f003956c3f7d7a3bdf4a22,doris-pipeline-connector,flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-doris/pom.xml,4,96,16,96,1,25,3,25,0,0,0,0,60,1021,1,0,3,71,13,71
FLINK-35119,,,,,Flink CDC,3.1-pre,,Flink,1.18.1,,,潜在故障（待复现）,,2024/4/16 03:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35127,,,,,Flink CDC,3.1-pre,3.1.0,Flink,1.18.1,,,崩溃故障,,2024/4/17 01:53,2024/4/19 07:37,d4ed7db8dca18906bb8a1d7738cb158da0222bc3,2024-04-18T10:01:03Z,2024-04-19T07:37:35Z,2024-04-19T07:37:35Z,2024-04-19T07:37:35Z,d4ed7db8dca18906bb8a1d7738cb158da0222bc3,values-pipeline-connector,flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-values/src/main/java/org/apache/flink/cdc/connectors/values/source/ValuesDataSource.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-values/src/main/java/org/apache/flink/cdc/connectors/values/source/ValuesDataSourceHelper.java,4,1366,125,1366,3,1247,104,1247,0,0,0,0,54,183,3,0,1,119,21,119
FLINK-35149,,,,,Flink CDC,3.1-pre,3.1.1,Flink,1.18.1,,,潜在故障,,2024/4/18 02:14,2024/6/4 08:39,33891869a9fffa2abf8b8ae03915d0ddccdaf5ec,2024-04-18T02:32:01Z,2024-06-04T08:40:23Z,2024-06-04T08:39:50Z,2024-06-04T08:39:50Z,33891869a9fffa2abf8b8ae03915d0ddccdaf5ec,composer;starrocks-pipeline-connector,flink-cdc-composer/src/main/java/org/apache/flink/cdc/composer/flink/translator/DataSinkTranslator.java;flink-cdc-composer/src/test/java/org/apache/flink/cdc/composer/flink/translator/DataSinkTranslatorTest.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-starrocks/src/main/java/org/apache/flink/cdc/connectors/starrocks/sink/StarRocksUtils.java,15,1915,324,1915,9,1230,217,1230,5,644,101,644,115,937,9,5,1,41,6,41
FLINK-35151,MySQL,5.7/8.0,,,Flink CDC,3.1-pre,,Flink,1.18.1,,,崩溃故障,,2024/4/18 04:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35211,Oracle,12c,,,Flink CDC,3.1-pre,,Flink,1.18.1,,,崩溃故障（待复现）,,2024/4/23 01:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35220,MySQL,5.7/8.0,,,Flink CDC,3.1-pre,,Flink,1.18.1,,,崩溃故障,,2024/4/24 03:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35234,,,,,Flink CDC,3.1-pre,3.2.0,Flink,1.18.1,,,崩溃故障,,2024/4/25 05:56,2024/8/6 11:37,d76beecdb0658ff341f91de5c8924159c457c8ba,2024-04-25T06:01:26Z,2024-08-06T11:37:37Z,2024-08-06T11:37:37Z,2024-08-06T11:37:37Z,d76beecdb0658ff341f91de5c8924159c457c8ba,common;reviewed;approved,flink-cdc-common/src/main/java/org/apache/flink/cdc/common/configuration/ConfigurationUtils.java,9,548,82,548,1,42,8,42,5,398,58,398,138,302,1,5,3,108,16,108
FLINK-35251,,,,,Flink CDC,3.1-pre,3.1.0,Flink,1.18.1,,,崩溃故障（待复现）,,2024/4/27 15:07,2024/4/28 00:30,9cc3451ddf6546317c4c3af1efbc68c2d745ef7d,2024-04-27T15:12:16Z,2024-04-28T00:30:48Z,2024-04-28T00:30:48Z,2024-04-28T00:30:48Z,9cc3451ddf6546317c4c3af1efbc68c2d745ef7d,runtime,flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/operators/schema/coordinator/SchemaDerivation.java;flink-cdc-runtime/src/test/java/org/apache/flink/cdc/runtime/operators/schema/coordinator/SchemaDerivationTest.java,1,36,6,36,0,0,0,0,0,0,0,0,89,239,0,0,1,36,6,36
FLINK-35255,,,,,Flink CDC,3.1-pre,3.1.0,Flink,1.18.1,,,潜在故障,,2024/4/28 06:14,2024/4/29 03:52,23a67dcdb985f135e984e8e1afa8d1159946f95f,2024-04-28T06:22:37Z,2024-04-29T03:53:20Z,2024-04-29T03:52:18Z,2024-04-29T03:52:18Z,23a67dcdb985f135e984e8e1afa8d1159946f95f,runtime,flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/operators/sink/DataSinkWriterOperator.java,3,174,30,174,2,135,24,135,0,0,0,0,93,80,2,0,1,39,6,39
FLINK-35258,,,,,Flink CDC,3.1-pre,3.1.0,Flink,1.18.1,,,潜在故障,,2024/4/28 07:59,2024/4/28 10:07,a513e9f82e815409a8c91bdc999196d1658137f0,2024-04-28T08:36:45Z,2024-04-28T10:07:57Z,2024-04-28T10:07:57Z,2024-04-28T10:07:57Z,a513e9f82e815409a8c91bdc999196d1658137f0,docs,docs/content.zh/docs/connectors/doris.md;docs/content/docs/connectors/doris.md,1,37,6,37,0,0,0,0,0,0,0,0,66,25,0,0,1,37,6,37
FLINK-35259,,,,,Flink CDC,3.1-pre,3.1.0,Flink,1.18.1,,,潜在故障（待确认）,,2024/4/28 13:35,2024/4/29 03:33,0108d0e5d18c55873c3d67e9caad58b9d2148d6a,2024-04-28T14:20:45Z,2024-04-29T03:33:04Z,2024-04-29T03:33:04Z,2024-04-29T03:33:04Z,0108d0e5d18c55873c3d67e9caad58b9d2148d6a,runtime,flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/functions/SystemFunctionUtils.java;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/typeutils/DataTypeConverter.java;flink-cdc-runtime/src/test/java/org/apache/flink/cdc/runtime/operators/transform/TransformDataOperatorTest.java;flink-cdc-runtime/src/test/java/org/apache/flink/cdc/runtime/parser/JaninoCompilerTest.java,1,109,19,109,0,0,0,0,0,0,0,0,77,77,0,0,1,109,19,109
FLINK-35264,,,,,Flink CDC,3.1-pre,3.1.0,Flink,1.18.1,,,逻辑故障（待复现）,数据丢失/结构变化/数据变更,2024/4/29 08:52,2024/4/29 12:23,f61f0f44bd56196296193edf9e9fa693e22e6a3c,2024-04-29T08:36:27Z,2024-04-29T12:23:44Z,2024-04-29T12:23:44Z,2024-04-29T12:23:44Z,f61f0f44bd56196296193edf9e9fa693e22e6a3c,runtime;e2e-tests,flink-cdc-e2e-tests/flink-cdc-pipeline-e2e-tests/src/test/java/org/apache/flink/cdc/pipeline/tests/TransformE2eITCase.java;flink-cdc-e2e-tests/flink-cdc-pipeline-e2e-tests/src/test/resources/ddl/mysql_inventory.sql;flink-cdc-e2e-tests/flink-cdc-pipeline-e2e-tests/src/test/resources/ddl/transform_test.sql;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/operators/transform/TransformSchemaOperator.java,3,194,23,194,2,114,8,114,0,0,0,0,61,142,2,0,1,80,15,80
FLINK-35274,DB2,,,,Flink CDC,3.1-pre,3.1.0,Flink,1.18.1,,,崩溃故障,,2024/4/30 10:34,2024/5/6 05:54,a7cb46f7621568486a069a7ae01a7b86ebb0a801,2024-04-30T10:54:35Z,2024-05-06T05:54:09Z,2024-05-06T05:54:08Z,2024-05-06T05:54:08Z,a7cb46f7621568486a069a7ae01a7b86ebb0a801,db2-cdc-connector,flink-cdc-connect/flink-cdc-source-connectors/flink-connector-db2-cdc/src/main/java/io/debezium/connector/db2/Db2Connection.java,2,48,8,48,1,16,2,16,0,0,0,0,84,79,1,0,1,32,6,32
FLINK-35277,DB2,11.5.x,Doris,,Flink CDC,3.1-pre,,Flink,1.18.0,,,崩溃故障,,2024/4/30 14:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35281,,,,,Flink CDC,3.1.0,,Flink,1.18.1,,,性能故障（待确认）,,2024/5/2 06:35,2024/7/5 06:06,ca1470d5dd48f9238d13a350be99c174ff600b7b,2024-05-08T02:38:18Z,2024-07-05T06:06:58Z,2024-07-05T06:06:57Z,2024-07-05T06:06:57Z,ca1470d5dd48f9238d13a350be99c174ff600b7b,composer,flink-cdc-composer/src/main/java/org/apache/flink/cdc/composer/flink/FlinkEnvironmentUtils.java;flink-cdc-composer/src/test/java/org/apache/flink/cdc/composer/flink/FlinkEnvironmentUtilsTest.java,6,384,53,384,1,28,5,28,4,282,38,282,85,940,1,5,1,74,10,74
FLINK-35294,MySQL,5.7/8.0,,,Flink CDC,3.1.0,3.1.1/3.2.0,Flink,1.18.1,,,逻辑故障（待复现）,,2024/5/6 09:28,2024/5/27 04:11,bddcaae7846671c0447b2aa6c7d8e96638988f99,2024-05-06T09:39:13Z,2024-05-27T04:11:42Z,2024-05-27T04:11:42Z,2024-05-27T04:11:42Z,bddcaae7846671c0447b2aa6c7d8e96638988f99,mysql-cdc-connector,flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/debezium/reader/BinlogSplitReader.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/debezium/task/MySqlBinlogSplitReadTask.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/test/java/org/apache/flink/cdc/connectors/mysql/debezium/reader/BinlogSplitReaderTest.java,1,42,6,42,0,0,0,0,0,0,0,0,106,442,0,0,1,42,6,42
FLINK-35296,MySQL,,,,Flink CDC,3.0.1,,Flink,1.18.1,,,崩溃故障,,2024/5/6 09:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35301,,,,,Flink CDC,3.1.0,3.1.1/3.2.0,Flink,1.18.1,,,崩溃故障,,2024/5/7 01:44,2024/5/27 10:54,6350eec66c80a4c3815dce604305d417ee862e14,2024-05-07T01:46:10Z,2024-05-27T10:54:26Z,2024-05-27T10:54:26Z,2024-05-27T10:54:26Z,6350eec66c80a4c3815dce604305d417ee862e14,mysql-cdc-connector;base,flink-cdc-connect/flink-cdc-source-connectors/flink-cdc-base/src/main/java/org/apache/flink/cdc/connectors/base/relational/connection/JdbcConnectionPoolFactory.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/io/debezium/connector/mysql/MySqlConnection.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/connection/PooledDataSourceFactory.java,3,76,17,76,0,0,0,0,2,72,16,72,59,232,0,2,1,4,1,4
FLINK-35304,MongoDB,,,,Flink CDC,3.1.0,,Flink,1.18.1,,,逻辑故障（待复现）,数据变更,2024/5/7 09:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35308,MySQL,5.7/8.0,StarRocks,,Flink CDC,3.1.0,,Flink,1.18.1,,,逻辑故障（待复现）,数据变更,2024/5/8 06:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35312,SQL Server,2014,,,Flink CDC,2..4.1,,Flink,1.17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35323,,,,,Flink CDC,3.1.0,3.1.1/3.2.0,Flink,1.18.1,,,逻辑故障（待复现）,结构变化,2024/5/10 02:23,2024/6/3 04:05,88afc5f18d051b52da86b5017dc896a4a66e6e10,2024-05-11T01:24:12Z,2024-06-03T09:40:51Z,2024-06-03T04:05:01Z,2024-06-03T04:05:01Z,88afc5f18d051b52da86b5017dc896a4a66e6e10,runtime;e2e-tests,flink-cdc-e2e-tests/flink-cdc-pipeline-e2e-tests/src/test/java/org/apache/flink/cdc/pipeline/tests/TransformE2eITCase.java;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/operators/transform/TransformDataOperator.java,4,330,40,330,2,309,35,309,0,0,0,0,107,596,2,0,2,21,5,21
FLINK-35390,SQL Server,,,,Flink CDC,3.0.0,,Flink,1.18.1,,,崩溃故障（待复现）,,2024/5/17 08:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35407,MySQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35409,,,,,Flink CDC,3.1.0,3.2.0,Flink,1.18.1,,,潜在故障,,2024/5/21 10:14,2024/5/30 03:57,19c382c0f2f2736baeb1c652130cb30dd98ca90c,2024-05-21T10:29:25Z,2024-05-30T03:57:23Z,2024-05-30T03:57:22Z,2024-05-30T03:57:22Z,19c382c0f2f2736baeb1c652130cb30dd98ca90c,mysql-cdc-connector,flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/reader/MySqlSourceReader.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/test/java/org/apache/flink/cdc/connectors/mysql/source/reader/MySqlSourceReaderTest.java,3,59,11,59,1,52,9,52,0,0,0,0,94,91,1,0,2,7,2,7
FLINK-35415,,,,,Flink CDC,3.1.0,3.1.1/3.2.0,Flink,1.19.0,,,崩溃故障,,2024/5/22 01:28,2024/6/5 04:04,9a9603413c7c6d7094a30f8c8e676b65b0d3b9ba,2024-05-22T10:28:11Z,2024-06-06T07:50:19Z,2024-06-06T07:50:19Z,2024-06-06T07:50:19Z,1a360635c7ac936106e78d87867f96ed3f64e04b,composer;build;e2e-tests;doris-pipeline-connector;starrocks-pipeline-connector,flink-cdc-composer/src/main/java/org/apache/flink/cdc/composer/flink/translator/DataSinkTranslator.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-doris/pom.xml;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-doris/src/test/java/org/apache/flink/cdc/connectors/doris/sink/DorisMetadataApplierITCase.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-doris/src/test/java/org/apache/flink/cdc/connectors/doris/sink/DorisPipelineITCase.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-doris/src/test/java/org/apache/flink/cdc/connectors/doris/sink/utils/DorisContainer.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-doris/src/test/java/org/apache/flink/cdc/connectors/doris/sink/utils/DorisSinkTestBase.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-doris/src/test/resources/log4j2-test.properties;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-starrocks/pom.xml;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-starrocks/src/test/java/com/starrocks/shade/org/apache/commons/compress/utils/Lists.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-starrocks/src/test/java/org/apache/flink/cdc/connectors/starrocks/sink/StarRocksMetadataApplierITCase.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-starrocks/src/test/java/org/apache/flink/cdc/connectors/starrocks/sink/StarRocksPipelineITCase.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-starrocks/src/test/java/org/apache/flink/cdc/connectors/starrocks/sink/utils/StarRocksContainer.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-starrocks/src/test/java/org/apache/flink/cdc/connectors/starrocks/sink/utils/StarRocksSinkTestBase.java;flink-cdc-e2e-tests/flink-cdc-pipeline-e2e-tests/pom.xml;flink-cdc-e2e-tests/flink-cdc-pipeline-e2e-tests/src/test/java/org/apache/flink/cdc/pipeline/tests/MySqlToDorisE2eITCase.java;flink-cdc-e2e-tests/flink-cdc-pipeline-e2e-tests/src/test/java/org/apache/flink/cdc/pipeline/tests/MysqlE2eITCase.java;flink-cdc-e2e-tests/flink-cdc-pipeline-e2e-tests/src/test/java/org/apache/flink/cdc/pipeline/tests/TransformE2eITCase.java;flink-cdc-e2e-tests/flink-cdc-pipeline-e2e-tests/src/test/java/org/apache/flink/cdc/pipeline/tests/utils/PipelineTestEnvironment.java;flink-cdc-e2e-tests/flink-cdc-source-e2e-tests/pom.xml;flink-cdc-e2e-tests/flink-cdc-source-e2e-tests/src/test/java/org/apache/flink/cdc/connectors/tests/utils/FlinkContainerTestEnvironment.java;pom.xml,15,1269,212,1269,4,261,41,261,8,642,105,642,53,378,4,8,3,366,66,366
FLINK-35421,,,,,Flink CDC,3.1.0,,Flink,1.18.1,,,崩溃故障（待确认）,,2024/5/22 13:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-35430,,,,,Flink CDC,3.1.0,3.1.1/3.2.0,Flink,1.18.1,,,逻辑故障（待确认）（待复现）,,2024/5/23 07:54,2024/6/3 06:17,0e8b2c7cc59db227dc0e15f219bd3d1b4c28ad42,2024-05-24T06:52:26Z,2024-06-03T08:30:48Z,2024-06-03T06:17:47Z,2024-06-03T06:17:47Z,0e8b2c7cc59db227dc0e15f219bd3d1b4c28ad42,,flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-kafka/src/main/java/org/apache/flink/cdc/connectors/kafka/json/ChangeLogJsonFormatFactory.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-kafka/src/main/java/org/apache/flink/cdc/connectors/kafka/json/canal/CanalJsonSerializationSchema.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-kafka/src/main/java/org/apache/flink/cdc/connectors/kafka/json/debezium/DebeziumJsonSerializationSchema.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-kafka/src/main/java/org/apache/flink/cdc/connectors/kafka/sink/KafkaDataSinkFactory.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-kafka/src/test/java/org/apache/flink/cdc/connectors/kafka/json/canal/CanalJsonSerializationSchemaTest.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-kafka/src/test/java/org/apache/flink/cdc/connectors/kafka/json/debezium/DebeziumJsonSerializationSchemaTest.java,6,591,93,591,2,422,64,422,1,85,15,85,81,122,2,1,3,84,14,84
FLINK-35452,MySQL,,,,Flink CDC,2.4.2,,Flink,1.15.3,,,逻辑故障,数据丢失,2024/5/26 03:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
